review_comment_lemmatized_bigram,Sentiment_Category
"'arrive_9:35', '9:35_p.m.', 'p.m._tell', 'tell_want', 'want_table', 'table_show', 'show_table', 'table_15', '15_minute', 'minute_wait', 'wait_come', 'come_drink', 'drink_people', 'people_arrive', 'arrive_15', '15_minute', 'minute_wait', 'wait_ask', 'ask_drink', 'drink_tell', 'tell_menu', 'menu_10:10', '10:10_p.m.', 'p.m._tell', 'tell_pizza', 'pizza_leave', 'leave_starter', 'starter_acceptable', 'acceptable_infinite', 'infinite_pizza', 'pizza_restaurant', 'restaurant_pizzeria', 'pizzeria_80', '80_menu', 'menu_pizza', 'pizza_sit', 'sit_thing', 'thing_convey', 'convey_customer', 'customer_lack', 'lack_professionalism', 'professionalism_empathy', 'empathy_option', 'option_able', 'able_close', 'close_kitchen', 'kitchen_restaurant', 'restaurant_area', 'area_doubt', 'doubt_return', 'return_especially', 'especially_waitress', 'waitress_serve', 'serve_terrace', 'terrace_know', 'know_leave', 'leave_people', 'people_dinner', 'dinner_thing', 'thing_worried', 'worried_entertain', 'entertain_send', 'send_video', 'video_cell', 'cell_phone', 'phone_case', 'case_happen', 'happen_papa', 'papa_john', 'john_meter', 'meter_away'",Negative
"'disappoint_wait', 'wait_40', '40_minute', 'minute_seat', 'seat_people', 'people_arrive', 'arrive_later', 'later_attend', 'attend_question', 'question_girl', 'girl_upset', 'upset_go', 'go_bathroom', 'bathroom_upset', 'upset_breakdown', 'breakdown_time', 'time_eat', 'eat_unsweetened', 'unsweetened_juice', 'juice_take', 'take_girl', 'girl_pass', 'pass_ketchup', 'ketchup_table', 'table_lunch', 'lunch_time', 'time_short', 'short_disaster'",Negative
"'order_glovo', 'glovo_live', 'live_close', 'close_dry', 'dry_hard', 'hard_dough', 'dough_bread', 'bread_type', 'type_noise', 'noise_hit', 'hit_plate', 'plate_pizza', 'pizza_calabrese', 'calabrese_slice', 'slice_black', 'black_olive', 'olive_burn', 'burn_onion', 'onion_honolulu', 'honolulu_4', '4_exactly', 'exactly_4', '4_piece', 'piece_pineapple', 'pineapple_ham', 'ham_cheese', 'cheese_chicken', 'chicken_catupiry', 'catupiry_catupiry', 'catupiry_way', 'way_little', 'little_fill', 'fill_dry', 'dry_hard', 'hard_guest', 'guest_dinner', 'dinner_brazilian', 'brazilian_pizza', 'pizza_embarrassment', 'embarrassment_disappointment'",Negative
"'order_pizza', 'pizza_keep', 'keep_wait', 'wait_hour', 'hour_ask', 'ask_pizza', 'pizza_going', 'going_tell', 'tell_run', 'run_dough', 'dough_serve', 'serve_pizza', 'pizza_bring', 'bring_pizza', 'pizza_hour', 'hour_half', 'half_wait', 'wait_eat', 'eat_table', 'table_bring', 'bring_3', '3_pizza', 'pizza_hello', 'hello_dough', 'dough_finish', 'finish_3', '3_pizza', 'pizza_face', 'face_think', 'think_course', 'course_compensate', 'compensate_appetizer', 'appetizer_order', 'order_bad', 'bad_business', 'business_star', 'star_deserve', 'deserve_star', 'star_will', 'will_publish'",Negative
"'star_reservation', 'reservation_fork', 'fork_serve', 'serve_inferior', 'inferior_diner', 'diner_menu', 'menu_take', 'take_30', '30_minute', 'minute_serve', 'serve_serve', 'serve_client', 'client_arrive', 'arrive_soon', 'soon_leave', 'leave_reservation', 'reservation_wait', 'wait_half', 'half_hour', 'hour_take', 'take_note', 'note_disappoint', 'disappoint_terrible', 'terrible_service', 'service_will'",Negative
